"gene","metamodule"
"ENSG00000168237",17
"ENSG00000188803",17
"ENSG00000151623",57
"ENSG00000198734",17
"ENSG00000158089",95
"ENSG00000171729",17
"ENSG00000151322",39
"ENSG00000071967",19
"ENSG00000082684",13
"ENSG00000197261",3
"ENSG00000182040",17
"ENSG00000141668",17
"ENSG00000115844",40
"ENSG00000140022",17
"ENSG00000069018",2
"ENSG00000006016",17
"ENSG00000272398",3
"ENSG00000106624",17
"ENSG00000135824",17
"ENSG00000185985",17
"ENSG00000134853",17
"ENSG00000168309",8
"ENSG00000239704",26
"ENSG00000172201",3
"ENSG00000225968",14
"ENSG00000115963",3
"ENSG00000178602",6
"ENSG00000164627",17
"ENSG00000152518",6
"ENSG00000205683",17
"ENSG00000197321",4
"ENSG00000065809",40
"ENSG00000160886",60
"ENSG00000146469",17
"ENSG00000204767",40
"ENSG00000234965",60
"ENSG00000137491",1
"ENSG00000116032",8
"ENSG00000133065",17
"ENSG00000154127",60
"ENSG00000138061",17
"ENSG00000160293",57
"ENSG00000182287",17
"ENSG00000146054",17
"ENSG00000163520",17
"ENSG00000197594",2
"ENSG00000075426",1
"ENSG00000143061",17
"ENSG00000119283",40
"ENSG00000172572",17
"ENSG00000122642",1
"ENSG00000176771",1
"ENSG00000168621",4
"ENSG00000182968",6
"ENSG00000119403",80
"ENSG00000135111",4
"ENSG00000160223",80
"ENSG00000147145",3
"ENSG00000181323",6
"ENSG00000068078",17
"ENSG00000166532",17
"ENSG00000159166",27
"ENSG00000187068",16
"ENSG00000164976",1
"ENSG00000164270",83
"ENSG00000157111",17
"ENSG00000123453",8
"ENSG00000143340",8
"ENSG00000166033",57
"ENSG00000181195",17
"ENSG00000064042",17
"ENSG00000112773",53
"ENSG00000157851",88
"ENSG00000187997",17
"ENSG00000154764",17
"ENSG00000108379",27
"ENSG00000139946",74
"ENSG00000075429",80
"ENSG00000196767",3
"ENSG00000092421",75
"ENSG00000221869",27
"ENSG00000260428",60
"ENSG00000144681",6
"ENSG00000138193",17
"ENSG00000091181",17
"ENSG00000086159",17
"ENSG00000107719",37
"ENSG00000159251",6
"ENSG00000112164",17
"ENSG00000169302",14
"ENSG00000157502",8
"ENSG00000160224",17
"ENSG00000121797",17
"ENSG00000147256",6
"ENSG00000157103",60
"ENSG00000183798",17
"ENSG00000156574",8
"ENSG00000196091",5
"ENSG00000159248",8
"ENSG00000181449",26
"ENSG00000213654",6
"ENSG00000049540",19
"ENSG00000166863",17
"ENSG00000148734",8
"ENSG00000167588",17
"ENSG00000177374",60
"ENSG00000064201",3
"ENSG00000080511",60
"ENSG00000130222",1
"ENSG00000166025",75
"ENSG00000017427",57
"ENSG00000067177",60
"ENSG00000117707",17
"ENSG00000064547",93
"ENSG00000186088",88
"ENSG00000064989",17
"ENSG00000063438",83
"ENSG00000167434",79
"ENSG00000169692",83
"ENSG00000135069",8
"ENSG00000140600",13
"ENSG00000146122",17
"ENSG00000261308",40
"ENSG00000165424",17
"ENSG00000115461",4
"ENSG00000117318",17
"ENSG00000106278",80
"ENSG00000163347",75
"ENSG00000109927",6
"ENSG00000224940",39
"ENSG00000152592",83
"ENSG00000164946",8
"ENSG00000080644",57
"ENSG00000115828",28
"ENSG00000178573",60
"ENSG00000168081",28
"ENSG00000167081",83
"ENSG00000165633",17
"ENSG00000113739",75
"ENSG00000133874",3
"ENSG00000139835",54
"ENSG00000050405",57
"ENSG00000215644",17
"ENSG00000137463",60
"ENSG00000060140",6
"ENSG00000146648",75
"ENSG00000163646",54
"ENSG00000165370",14
"ENSG00000175697",6
"ENSG00000170396",95
"ENSG00000168389",1
"ENSG00000175894",17
"ENSG00000009765",17
"ENSG00000082438",1
"ENSG00000120278",17
"ENSG00000104611",8
"ENSG00000154188",95
"ENSG00000163630",17
"ENSG00000146592",5
"ENSG00000122786",86
"ENSG00000147257",17
"ENSG00000171502",78
"ENSG00000159958",80
"ENSG00000126733",17
"ENSG00000111186",17
"ENSG00000126010",17
"ENSG00000140848",57
"ENSG00000101438",60
"ENSG00000137699",6
"ENSG00000256162",17
"ENSG00000166391",6
"ENSG00000099282",80
"ENSG00000075891",7
"ENSG00000108018",83
"ENSG00000185338",1
"ENSG00000174460",6
"ENSG00000196159",75
"ENSG00000189051",14
"ENSG00000111962",75
